question,Topic,answer,category,subcategory,satisfied
"How can I close my Klarna account, and what happens after it is closed?",2,"To close your Klarna account, you must settle any outstanding payments and then chat with Customer Service. After closing the account, you will not be able to log in, view previous payments or purchases, and if requested, your personal information will be permanently deleted except for certain legally required information.",Account & settings,Manage account,1
What happens after I report my item being returned?,3,"When a return is reported, the invoice is paused to allow time for the return to be registered by the store, and the invoice to be updated accordingly. If the return is not registered correctly by the store within 21 days, Klarna can provide support if the required returns information has been provided. After reviewing the provided information, Klarna will notify the customer of the decision once the investigation is closed. If the investigation is resolved in the customer's favor, the payment plan will be updated and any overpayments will be refunded. If the decision favors the store, the original payments will still apply, but the payment schedule will be updated accordingly.",Delivery & returns,Returns,1
Why was my payment declined for klarna today? It's worked without any issues before though,0,"A person might be unable to complete a purchase using Klarna because, for each order attempt, information from the credit bureaus is used to check their credit history, such as if they paid off other credits on time, or if they have too much outstanding debt elsewhere. Each purchase attempt generates a new automated approval assessment based on available credit bureau decision data in real time, so one rejection does not mean that future purchases will always be declined.",Declined purchase,Declined Purchase,1
why do I always need to verify my banking details when making a normal purchase? I don't need to do so with any other credit card,2,"Customers need to verify their details to ensure their information and purchases associated with their email address are shared securely, and because the Second EU Payment Services Directive (PSD2) mandates a stronger customer authentication procedure for more secure online payments.",Fraud & security,Data protection,1
any issues using the virtual vs the physical klarna card? I want to make some purchase today but my physical card is still not here,-1,"Your virtual card will be available in the app as soon as you are approved. With the Klarna Card, you can enjoy shopping flexibility, but it's essential to keep an eye on your payments via the Klarna App for seamless management.",Products & services,Klarna Card,1
"I ordered an Apple iPad for $799 three days ago, and it got refunded. I'm a bit confused about how this refund will be reflected in my balance.",3,"When a purchase like your $799 Apple iPad is refunded, the amount will generally be returned to your original payment method, and this refund can typically take a few business days to process. Keep an eye on your Klarna balance to ensure it's updated accordingly.",Products & services,Klarna balance,1
"I bought a new pair of Adidas UltraBoost sneakers for $135 using Klarna's 'Pay later in 30 days', Are there any additional fees that I might be charged? Just wanted to confirm again.",1,You will not be charged any extra interest or fees if you use Klarna’s 'Pay later in 30 days' as long as you pay on time. [There is no fee to use ‘Pay in 30 days’!],Products & services,Payment options,0
"I bought a Dyson vacuum for $399 three days ago using the klarna card, does this impact my credit score?",-1,"When you apply for a Klarna Card, a soft credit check is performed, which does not affect your credit score. It's important to make payments on time to avoid any negative impacts on your creditworthiness. The Klarna Card offers various benefits, such as easy payment installment options.",Products & services,Klarna Card,1
are there any fees for the klarna card?,-1,"If you're interested in applying for a Klarna Card to help manage your payments like the $200 pair of Nike shoes you bought, just go to the Klarna App. You can get easily set up there, and it’ll show you all your payments and even lets you pay early or stretch out payment deadlines for a fee.",Products & services,Klarna Card,1
"I thought I added $150 to buy a Nike pair of sneakers 4 days ago, but my balance still seems off. It should be a lot higher ",-1,"When you make a purchase with the Klarna Card, your transactions are added to your monthly statement, which is emailed on the 26th of each month, and the payment is automatically withdrawn on the 16th of the following month. If you added the money only 4 days ago, it might take some time for it to reflect in the transactions or the balance you see. It's also good to check if the payment method was set correctly to ensure the balance update was successful.",Products & services,Klarna balance,1
any extra fees for using the pay in 4 btw?,-1,Using Klarna's Pay in 4 plan comes with no interest or hidden fees as long as you pay on time and the full purchase price is covered by your payments.,Products & services,Payment options,1
any spots in downtown Tribeca that I can use klarna at? Need to pick up a new gift ,0,You can find a list of stores that accept Klarna by visiting the Klarna app or website. Simply look for the 'Shop directory' to explore all the retailers partnered with Klarna.,Products & services,How to use Klarna,1
"I am trying to understand ways to pay using Klarna. I bought a pair of Nike sneakers for $120, and it's been 3 days since the purchase, when is my first payment plan?",1,"If you're looking into payment options, Klarna offers options like 'Pay in 4' or the 'Pay Later' option which might let you hold off payment for a bit. For refunds, if needed, remember it can take up to 14 days for the funds to clear.",Products & services,Payment options,1
how can I check my klarna balance? I just bought a new Dyson hairdryer for $399 a few days back but I can't seem to figure out how much more I can spend on this card,-1,"You can always check your balance or how much is left to spend by logging into your Klarna account. On the homepage of the app, you should find your balance details along with recent transactions including any purchase made.",Products & services,Klarna balance,1
I need urgent help with my Klarna payment for my new M2 MacBook Air that I bought from Best Buy for $1200! The app says payment is due tomorrow but my paycheck doesn't clear until Friday.,-1,"Klarna offers various payment plans, like Pay in 4, where you can divide the total cost into four installments. If you're unsure of the method you selected, check the Klarna app for details on your payment plan. You can also update it if needed through the app. ""If you don’t use the option in the app, Klarna will automatically adjust the plan after 14 days.""",Products & services,Payment options,1
Just tried to set up a one-time card via the Klarna app to purchase a Sony WH-1000XM5 headphones for $349 but I can't seem to use it with Apple Pay for some reason.,-1,"If you recently created a one-time card but are unsure how to proceed, make sure to check the ""Other Cards & Pay Later Options"" in the Klarna app. You should be able to select the one-time card and set it for your intended purchase. It can also help to ensure you’re following the correct prompts within your Klarna app interface.",Products & services,One-time card,1
"I paid $200 for a Nike jacket from Macy's two days ago using my Klarna card, and I just added another $160 to my account because the payment is due tomorrow. But my balance isn't updating. Why is the app showing different amounts than what I've added? So confusing!",-1,"One reason your balance might not be updating is if your personal information in the Klarna app, like your full name or address, isn't correctly entered or updated. [Ensure your full name, date of birth, SSN and address are entered correctly.]",Products & services,Klarna balance,1
can I use the klarna card in store with Apple? Thinking of dropping by to just pick up a new ipad,-1,"Using Klarna in-store is similar to using it online. You just add the in-store card to your Apple Wallet via the Klarna app. To proceed, select the Klarna Card or in-store card when checking out and choose your payment plan. **Good to know**, in-store purchases can be managed in the Klarna app just like online purchases.",Products & services,How to use Klarna,0
Can I use Klarna for my monthly Vogue magazine subscription?,0,"Klarna does not directly support recurring payments or subscriptions, such as a magazine subscription. You can use Klarna for one-time purchases with participating retailers.",Products & services,How to use Klarna,1
"I added $250 to my Klarna balance three days ago, but after purchasing Nike sneakers for $130 and a Levi's jacket for $112, my balance shows $90 left. Wheres the extra money coming from?",-1,"The balance discrepancy might be due to pending transactions, where the full amount hasn't been deducted yet, or additional charges like taxes or fees. Check your transaction history in the Klarna app for pending transactions or any other charges that might not have been apparent before. If you are using backup financing options, such as 'Pay in 30 Days' or 'Monthly Financing,' these could also influence the visible balance as Klarna evaluates your ability to pay by assessing available data.",Products & services,Klarna balance,1
"I bought a Samsung Galaxy Tablet for $150 using Klarna, but I returned it 5 days ago. The store confirmed the refund yesterday. Does this mean the $150 will go back to my money I added balance in Klarna or does it just go back to my card?",3,"When you return an item like the Samsung Galaxy Tablet and the store confirms the refund, the amount is usually reversed to your Klarna balance, reducing your existing balance accordingly. If the refund hasn't been processed into your Klarna balance, it may return to your connected payment method.",Products & services,Klarna balance,1
does the klarna card just function like a normal credit card?,-1,"When using the Klarna Card, it's important to know that not all payment methods are always available at checkout. Klarna aims to support responsible spending, so not all orders are approved for all payment options, even if they are widely promoted.",Products & services,Klarna Card,1
I added $180 on a one-time card for a $150 Adidas sneaker purchase but there's $30 left over. What happens to the extra money?,-1,The remaining balance on a one-time card will be refunded to the original payment method once the card expires.,Products & services,One-time card,1
Just got a refund for Nike sneakers and a hoodie bought three days ago using Klarna's one-time card for $120. Are those 20 dollars added directly to the money I added as balance?,-1,"If you end up spending less than the amount on the One-time card, you can change the spending amount by selecting ""Refund unused amount"" on the purchase page.",Products & services,Klarna balance,1
I want to cancel my one-time card,1,You can view and manage all your purchases in the Klarna app or on klarna.com.,Products & services,One-time card,0
"I just bought a Dyson vacuum for $250 using Klarna. Any additional fees that I might face if I miss some payments?
",-1,"You won't have an annual fee, but if you miss payments, fees may apply.",Products & services,Payment options,1
